City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Sitka,US,57.0531,-135.33,49.89,87,90,4.61,overcast clouds
225,Dudinka,RU,69.4058,86.1778,41.23,87,100,25.23,light rain
226,Port Blair,IN,11.6667,92.75,84.83,74,78,17.52,broken clouds
227,Christchurch,NZ,-43.5333,172.6333,46.0,90,75,3.44,broken clouds
228,Celestun,MX,20.8667,-90.4,79.63,84,73,14.09,broken clouds
229,Odweyne,SO,9.4092,45.064,84.07,39,54,24.52,broken clouds
230,Nyurba,RU,63.2842,118.3319,87.93,31,48,2.19,scattered clouds
231,Tiksi,RU,71.6872,128.8694,59.05,49,7,3.4,clear sky
232,Salinopolis,BR,-0.6136,-47.3561,78.03,83,7,8.93,clear sky
233,Viedma,AR,-40.8135,-62.9967,45.93,77,99,9.33,overcast clouds
234,Leningradskiy,RU,69.3833,178.4167,42.49,72,100,7.02,overcast clouds
235,Yining,CN,29.0361,114.5636,87.84,53,2,5.39,clear sky
236,Wanning,CN,18.8003,110.3967,88.23,73,100,10.04,overcast clouds
237,Arraial Do Cabo,BR,-22.9661,-42.0278,67.17,83,36,11.01,scattered clouds
238,Lompoc,US,34.6391,-120.4579,61.09,80,90,1.01,mist
239,Bukama,CD,-9.2,25.85,85.26,27,37,2.57,scattered clouds
240,Qaqortoq,GL,60.7167,-46.0333,50.5,89,100,2.37,overcast clouds
241,Kutum,SD,14.2,24.6667,89.85,21,69,2.82,broken clouds
242,Vardo,NO,70.3705,31.1107,59.2,91,100,1.7,overcast clouds
243,Srednekolymsk,RU,67.45,153.6833,70.92,37,72,4.83,broken clouds
244,Cabinda,AO,-5.55,12.2,78.64,70,93,4.56,overcast clouds
245,Mount Gambier,AU,-37.8333,140.7667,52.88,69,100,10.96,overcast clouds
246,Sambava,MG,-14.2667,50.1667,75.29,59,94,12.82,overcast clouds
247,Samoded,RU,63.6083,40.5111,90.05,33,0,9.4,clear sky
248,Owando,CG,-0.4819,15.8999,73.62,89,100,4.41,light rain
249,Clyde River,CA,70.4692,-68.5914,30.43,100,90,16.11,overcast clouds
250,Riverton,US,40.5219,-111.9391,75.34,32,1,1.99,clear sky
251,Dumai,ID,1.6833,101.45,89.62,55,51,2.89,broken clouds
252,Tadine,NC,-21.55,167.8833,70.2,72,100,11.72,overcast clouds
253,Katsuura,JP,35.1333,140.3,76.19,77,40,10.67,scattered clouds
254,Praya,CV,14.9215,-23.5087,73.94,73,40,17.27,scattered clouds
255,Lufilufi,WS,-13.8745,-171.5986,76.78,78,66,13.09,light rain
256,Cabrobo,BR,-8.5142,-39.31,67.87,96,6,6.96,clear sky
257,Hoi An,VN,15.8794,108.335,94.96,63,96,13.42,overcast clouds
258,Kamalasai,TH,16.3384,103.5756,97.12,47,100,7.58,overcast clouds
259,Alyangula,AU,-13.8483,136.4192,76.06,81,24,12.24,few clouds
260,Matelica,IT,43.2541,13.0106,86.79,57,4,5.35,clear sky
261,Marzuq,YE,14.4,46.4667,94.01,20,1,5.55,clear sky
262,Rawson,AR,-43.3002,-65.1023,44.49,62,100,5.91,overcast clouds
263,Lavrentiya,RU,65.5833,-171.0,45.23,76,100,2.98,overcast clouds
264,Stepnyak,KZ,52.8339,70.7803,60.08,47,74,11.14,broken clouds
265,Ostrovnoy,RU,68.0531,39.5131,68.05,65,78,16.64,broken clouds
266,Teya,RU,60.3778,92.6267,63.61,50,82,6.44,broken clouds
267,Bokoro,TD,12.3807,17.0568,91.99,35,98,7.23,overcast clouds
268,Bubaque,GW,11.2833,-15.8333,78.98,77,100,5.55,overcast clouds
269,Toledo,ES,39.8333,-4.0,69.08,45,5,5.23,clear sky
270,West Plains,US,36.7281,-91.8524,54.55,92,1,0.0,clear sky
271,Madarounfa,NE,13.3087,7.156,86.59,47,74,6.22,broken clouds
272,Upata,VE,8.0086,-62.3989,72.19,96,100,2.44,overcast clouds
273,Parrita,CR,9.5201,-84.3225,74.52,89,95,1.52,overcast clouds
274,Axim,GH,4.8699,-2.2405,79.5,78,100,7.23,light rain
275,Marsh Harbour,BS,26.5412,-77.0636,80.76,83,100,9.17,overcast clouds
276,Grand Gaube,MU,-20.0064,57.6608,76.37,49,79,10.0,broken clouds
277,Opuwo,NA,-18.0607,13.84,68.4,27,0,15.82,clear sky
278,Paracatu,BR,-17.2222,-46.8747,60.35,63,12,1.43,few clouds
279,Sao Joao Da Barra,BR,-21.6403,-41.0511,62.76,91,28,8.28,scattered clouds
280,Sangar,RU,63.9242,127.4739,76.8,52,26,7.74,light rain
281,Alpoyeca,MX,17.6667,-98.5167,68.74,91,100,4.12,overcast clouds
282,Severnyy,RU,50.677,36.5532,84.24,42,0,11.18,clear sky
283,Zabaykalsk,RU,49.6333,117.3167,72.95,49,100,4.34,overcast clouds
284,Hyeres,FR,43.1167,6.1167,82.49,74,0,8.05,clear sky
285,Ganzhou,CN,28.8184,115.4327,84.83,64,8,8.14,clear sky
286,Cedar City,US,37.6775,-113.0619,63.55,23,0,6.02,clear sky
287,Zverinogolovskoye,RU,54.4586,64.8542,70.7,47,86,6.02,overcast clouds
288,Aklavik,CA,68.2191,-135.0107,43.52,76,86,14.16,overcast clouds
289,Ascension,US,30.2169,-90.9001,76.03,97,100,6.6,overcast clouds
290,Mahina,PF,-17.5065,-149.489,74.97,83,0,4.61,light rain
291,Olinda,BR,-8.0089,-34.8553,69.53,88,40,3.44,scattered clouds
292,Suchil,MX,23.6333,-103.9167,65.71,69,85,3.98,overcast clouds
293,Kencong,ID,-8.2833,113.3667,81.52,74,86,6.35,overcast clouds
294,Luba,GQ,3.4568,8.5547,76.32,88,100,4.05,light rain
295,Karaton,ID,-6.3424,106.1045,90.9,73,71,2.28,broken clouds
296,Pangai,TO,-19.8,-174.35,75.72,73,0,6.51,clear sky
297,Slyudyanka,RU,51.6594,103.7061,59.56,71,91,2.06,overcast clouds
298,Lakeside,US,30.13,-81.7682,73.99,92,20,0.0,few clouds
299,Muli,MV,2.9167,73.5667,83.34,74,92,15.32,overcast clouds
300,Koulamoutou,GA,-1.1303,12.4736,74.55,91,99,0.87,moderate rain
301,Khorixas,NA,-20.3667,14.9667,73.54,24,0,17.6,clear sky
302,Fenoarivo,MG,-18.933,47.4354,64.47,39,20,12.66,few clouds
303,Dikson,RU,73.5069,80.5464,33.87,89,16,11.54,few clouds
304,Mayskiy,RU,47.6931,40.1025,87.21,42,14,16.89,light rain
305,Menongue,AO,-14.6585,17.691,69.66,25,50,8.32,scattered clouds
306,Sooke,CA,48.3746,-123.7276,67.01,69,0,8.41,clear sky
307,Beba,CU,22.4437,-79.7253,74.66,95,90,5.53,overcast clouds
308,Mawlaik,MM,23.6333,94.4167,86.67,79,100,1.99,overcast clouds
309,Ciudad Bolivar,VE,8.1222,-63.5497,74.37,89,100,2.68,overcast clouds
310,Saint Leonard,CA,47.173,-67.9247,69.22,98,100,8.93,overcast clouds
311,Srivardhan,IN,18.0333,73.0167,86.56,65,90,8.34,overcast clouds
312,Tahe,CN,52.3333,124.7333,79.86,40,50,7.54,scattered clouds
313,Itarema,BR,-2.9248,-39.9167,73.69,90,83,9.98,broken clouds
314,Aginskoye,RU,51.1,114.53,73.2,53,91,4.7,overcast clouds
315,Saint George,US,37.1041,-113.5841,90.19,13,1,8.05,clear sky
316,Sabana De Torres,CO,7.3915,-73.4957,70.32,95,67,1.14,light rain
317,Feijo,BR,-8.1642,-70.3536,73.94,79,100,1.97,overcast clouds
318,Atar,MR,20.5169,-13.0499,91.04,14,9,7.56,clear sky
319,Aljezur,PT,37.3191,-8.8033,67.23,64,50,12.1,scattered clouds
320,Gympie,AU,-26.1898,152.665,60.31,86,50,3.18,scattered clouds
321,Manakara,MG,-22.1333,48.0167,69.66,77,67,1.74,light rain
322,Ossora,RU,59.2353,163.0719,53.31,66,100,3.13,overcast clouds
323,Salisbury,GB,51.0693,-1.7957,58.53,81,75,18.41,broken clouds
324,Kuito,AO,-12.3833,16.9333,65.16,32,32,7.99,scattered clouds
325,Unai,BR,-16.3575,-46.9061,62.35,65,10,1.19,clear sky
326,Dodoma,TZ,-6.1722,35.7395,75.07,44,56,10.42,broken clouds
327,Shenzhen,CN,22.5455,114.0683,85.21,99,100,4.27,overcast clouds
328,Sault Sainte Marie,CA,46.5168,-84.3333,43.09,81,1,0.0,clear sky
329,Saldanha,ZA,-33.0117,17.9442,63.18,75,2,20.62,light rain
330,Kuusamo,FI,65.9667,29.1833,66.24,72,75,6.91,broken clouds
331,Aykhal,RU,66.0,111.5,79.03,34,65,3.8,broken clouds
332,Siderno,IT,38.2779,16.302,97.34,37,74,6.89,broken clouds
333,Newport,GB,51.5877,-2.9984,62.17,68,22,16.35,few clouds
334,Luebo,CD,-5.35,21.4167,87.67,28,100,4.54,overcast clouds
335,Hami,CN,42.8,93.45,93.4,12,59,6.71,broken clouds
336,Mehamn,NO,71.0357,27.8492,58.91,80,86,20.6,overcast clouds
337,Bairiki,KI,1.3292,172.9752,83.19,71,24,6.93,few clouds
338,Fare,PF,-16.7,-151.0167,79.47,74,3,8.32,clear sky
339,Jalu,LY,29.0331,21.5482,95.02,21,0,8.46,clear sky
340,Aripuana,BR,-9.1667,-60.6333,71.91,80,41,1.66,scattered clouds
341,Bagdarin,RU,54.4333,113.6,65.68,70,100,3.65,light rain
342,Kurilsk,RU,45.2333,147.8833,51.58,73,6,3.09,clear sky
343,Vicosa Do Ceara,BR,-3.5622,-41.0922,62.35,96,48,3.33,scattered clouds
344,Playa Vicente,MX,17.8333,-95.8167,75.65,88,99,3.27,overcast clouds
345,Touros,BR,-5.1989,-35.4608,73.58,85,39,10.16,scattered clouds
346,Marivan,IR,35.5219,46.176,96.96,6,0,9.78,clear sky
347,Vaitape,PF,-16.5167,-151.75,79.9,73,18,8.66,few clouds
348,Pierre,US,44.3683,-100.351,54.99,77,38,3.0,scattered clouds
349,Shache,CN,38.4167,77.2406,89.46,10,0,9.42,clear sky
350,Dori,BF,14.0354,-0.0345,87.8,44,34,16.49,scattered clouds
351,Saint-Pierre,RE,-21.3393,55.4781,76.64,59,20,19.57,few clouds
352,Tilichiki,RU,60.4667,166.1,54.12,65,97,2.35,overcast clouds
353,Birao,CF,10.2849,22.7882,93.74,36,96,3.15,overcast clouds
354,Mus,TR,39.0,41.75,84.15,15,0,8.84,clear sky
355,Te Anau,NZ,-45.4167,167.7167,41.11,85,100,1.41,overcast clouds
356,Half Moon Bay,US,37.4636,-122.4286,62.91,84,90,1.01,overcast clouds
357,Havoysund,NO,70.9963,24.6622,52.68,94,78,17.25,broken clouds
358,Bandarbeyla,SO,9.4942,50.8122,88.41,51,0,24.81,clear sky
359,Dharchula,IN,29.85,80.5333,85.59,60,47,6.11,scattered clouds
360,Lata,PT,40.1629,-8.3327,65.05,74,99,3.76,overcast clouds
361,Meadow Lake,US,34.8014,-106.5436,72.68,51,1,8.1,clear sky
362,Millinocket,US,45.6573,-68.7098,71.42,99,100,5.26,overcast clouds
363,Ambilobe,MG,-13.2,49.05,84.61,36,34,9.51,scattered clouds
364,Wana,PK,32.2989,69.5725,89.49,21,0,12.73,clear sky
365,Kenema,SL,7.8767,-11.1875,74.41,93,97,2.39,overcast clouds
366,San Pedro,PH,14.35,121.0167,88.11,62,99,14.97,overcast clouds
367,Idrinskoye,RU,54.3708,92.1358,68.68,69,94,8.55,overcast clouds
368,Brae,GB,60.3964,-1.353,53.51,66,33,9.86,scattered clouds
369,Manta,EC,-0.95,-80.7333,71.96,87,79,7.4,broken clouds
370,Mahibadhoo,MV,3.7833,72.9667,83.48,75,90,16.46,overcast clouds
371,North Bend,US,43.4065,-124.2243,57.92,94,90,5.75,mist
372,Manado,ID,1.487,124.8455,75.97,88,40,6.91,scattered clouds
373,Binalbagan,PH,10.1948,122.8581,82.94,76,100,5.39,overcast clouds
374,Fomboni,KM,-12.28,43.7425,77.92,68,16,17.49,few clouds
375,Tigil,RU,57.8,158.6667,57.81,63,97,4.9,overcast clouds
376,Kochubey,RU,44.3861,46.5825,93.56,25,2,26.55,clear sky
377,Coihaique,CL,-45.5752,-72.0662,32.05,93,95,2.48,overcast clouds
378,Esna,EG,25.2934,32.554,101.95,11,0,3.02,clear sky
379,Margate,GB,51.3813,1.3862,57.69,76,100,13.0,overcast clouds
380,Juneau,US,58.3019,-134.4197,52.21,98,100,1.92,light rain
381,Tulare,US,36.2666,-118.8009,70.93,23,0,1.99,clear sky
382,Ulladulla,AU,-35.35,150.4667,52.09,87,53,6.73,broken clouds
383,Alma,CA,48.5501,-71.6491,65.25,92,100,14.29,overcast clouds
384,Lasem,ID,-6.6922,111.4527,84.06,71,95,6.53,overcast clouds
385,Yaan,NG,7.3833,8.5667,77.22,78,100,3.22,overcast clouds
386,Mikuni,JP,36.2171,136.1519,69.69,84,46,6.64,scattered clouds
387,Sao Filipe,CV,14.8961,-24.4956,73.49,76,39,8.25,scattered clouds
388,Alenquer,BR,-1.9417,-54.7383,71.8,88,7,3.78,clear sky
389,Zacualpan,MX,21.25,-105.1667,77.72,88,100,3.89,overcast clouds
390,Fort Saint James,CA,54.4333,-124.25,57.18,67,88,3.89,overcast clouds
391,Lorengau,PG,-2.0226,147.2712,82.17,77,57,10.38,broken clouds
392,Kirillov,RU,59.863,38.3813,89.53,33,90,4.65,overcast clouds
393,Chabahar,IR,25.2919,60.643,87.55,68,0,15.12,clear sky
394,Baraki Barak,AF,33.9675,68.9486,81.54,7,0,2.68,clear sky
395,Deputatskiy,RU,69.3,139.9,67.19,30,0,16.53,clear sky
396,Zelenoborskiy,RU,66.845,32.3622,63.88,67,30,6.8,scattered clouds
397,Sakaiminato,JP,35.55,133.2333,70.05,77,0,7.76,clear sky
398,Buritama,BR,-21.0661,-50.1472,62.69,72,39,2.71,scattered clouds
399,Elliot,ZA,-31.3333,27.85,59.68,32,9,15.73,clear sky
400,Rudbar,AF,30.15,62.6,99.01,6,0,18.7,clear sky
401,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,72,75,5.44,broken clouds
402,Hay River,CA,60.8156,-115.7999,57.16,72,75,5.75,broken clouds
403,San Javier,ES,37.8063,-0.8374,82.38,35,0,4.61,clear sky
404,Valley City,US,46.9233,-98.0032,48.94,100,1,8.05,clear sky
405,Moose Factory,CA,51.2585,-80.6094,38.48,92,100,5.21,overcast clouds
406,Guaiuba,BR,-4.0397,-38.6372,76.44,98,60,4.07,broken clouds
407,Berlevag,NO,70.8578,29.0864,58.95,67,75,13.8,broken clouds
408,Snasa,NO,64.2457,12.3778,53.01,60,100,6.46,overcast clouds
409,Bandar-E Lengeh,IR,26.5579,54.8807,95.38,46,0,5.28,clear sky
410,Bonavista,CA,48.6499,-53.1147,52.75,95,91,7.27,overcast clouds
411,Lydenburg,ZA,-25.0978,30.4597,61.39,28,0,4.43,clear sky
412,Namatanai,PG,-3.6667,152.4333,80.91,80,30,9.22,scattered clouds
413,Chalus,IR,36.655,51.4204,86.45,57,0,5.79,clear sky
414,Necochea,AR,-38.5473,-58.7368,47.03,92,7,8.16,clear sky
415,Flinders,AU,-34.5833,150.8552,55.38,84,63,1.01,broken clouds
416,Liaozhong,CN,41.5061,122.7242,82.4,43,76,5.82,broken clouds
417,Khasan,RU,42.4308,130.6434,62.2,77,5,7.85,clear sky
418,Hailar,CN,49.2,119.7,74.12,45,83,1.99,broken clouds
419,Dubbo,AU,-32.25,148.6167,55.53,67,99,11.5,overcast clouds
420,Aden,YE,12.7794,45.0367,88.27,68,0,6.96,clear sky
421,Namuac,PH,18.6109,121.1657,87.55,66,100,10.27,overcast clouds
422,Nerchinskiy Zavod,RU,51.3088,119.61,73.4,63,71,6.31,broken clouds
423,Zafra,ES,38.4167,-6.4167,66.88,50,0,3.2,clear sky
424,Baiyin,CN,36.5583,104.2081,87.53,17,100,17.69,overcast clouds
425,Ust-Omchug,RU,61.15,149.6333,46.51,82,100,2.3,overcast clouds
426,Hawalli,KW,29.2833,47.9972,100.56,32,0,1.99,clear sky
427,Stuttgart,DE,48.7823,9.177,76.28,86,40,4.61,light rain
428,Fremont,US,37.5483,-121.9886,63.21,75,1,1.99,clear sky
429,Presidente Medici,BR,-11.1753,-61.9014,68.56,85,0,3.15,clear sky
430,Avera,US,33.194,-82.5271,75.29,94,100,9.64,overcast clouds
431,Belaguntha,IN,19.8833,84.65,97.25,35,97,6.17,moderate rain
432,Morgan City,US,29.6994,-91.2068,77.0,95,100,5.21,overcast clouds
433,Luganville,VU,-15.5333,167.1667,77.22,87,85,6.64,overcast clouds
434,Kamenka,RU,51.3223,42.7678,86.72,48,3,9.64,clear sky
435,Moussoro,TD,13.6408,16.4901,93.99,35,100,7.9,overcast clouds
436,Henties Bay,NA,-22.116,14.2845,72.23,50,0,3.53,clear sky
437,Mpika,ZM,-11.8343,31.4529,67.84,50,24,10.63,few clouds
438,Lam Luk Ka,TH,13.9323,100.7494,97.99,42,40,8.05,scattered clouds
439,Muros,ES,42.7762,-9.0603,64.24,73,34,12.26,scattered clouds
440,Pevek,RU,69.7008,170.3133,40.73,71,29,4.65,scattered clouds
441,Sibolga,ID,1.7427,98.7792,76.86,90,99,2.48,overcast clouds
442,Road Town,VG,18.4167,-64.6167,76.19,79,100,20.4,overcast clouds
443,Tambovka,RU,50.0969,128.0489,77.11,54,28,7.23,scattered clouds
444,Monrovia,LR,6.3005,-10.7969,78.57,82,86,4.72,overcast clouds
445,Patos,BR,-7.0244,-37.28,67.33,90,13,5.97,few clouds
446,Guayaramerin,BO,-10.8368,-65.3614,67.93,85,0,1.9,clear sky
447,Harwich,GB,51.9419,1.2844,60.48,69,96,13.0,overcast clouds
448,Filingue,NE,14.3521,3.3168,87.37,52,43,18.12,scattered clouds
449,San Carlos Del Zulia,VE,9.0,-71.9135,73.13,94,40,4.85,scattered clouds
450,Cap Malheureux,MU,-19.9842,57.6142,76.46,49,74,10.0,broken clouds
451,Porto Torres,IT,40.835,8.3972,82.09,58,0,7.34,clear sky
